code,area,price
11140174,3407.775,7781250
11170101,255.1744898,5763928.571
11170102,128.2639344,5768934.426
11170104,277.0419355,11295483.87
11170105,169.6428571,14153571.43
11170107,503.9821429,11578750
11170108,164.8686275,6751274.51
11170109,166.7810811,5187162.162
11170110,173.0590909,7006818.182
11170111,181.8433333,7110500
11170112,554.797561,8167073.171
11170113,156.74,8545833.333
11170114,187.9777778,5199444.444
11170115,119.35,4563750
11170116,332.4333333,4793333.333
11170117,223.2,7898250
11170118,218.3,6755000
11170119,1162.064516,6656612.903
11170120,16844.93333,7851666.667
11170121,142.7307692,7298333.333
11170122,510.32,9861000
11170123,169.8461538,7813076.923
11170124,157.4586207,13385172.41
11170125,791.8864865,16102027.03
11170126,12841.66,8587000
11170127,363.9,13450000
11170128,881.8808511,13129680.85
11170129,3383.196154,12392942.31
11170130,232.8854167,10096729.17
11170131,828.7364238,10727453.64
11170132,1549.673913,8261521.739
11170133,2462.808333,6597500
11170134,222,8225000
11170135,169194,2820000
11170136,146.6046512,8382500
11200101,29370.75,9280000
11200102,4079.820833,5429687.5
11200103,174.66,5407333.333
11200104,209.6774194,6924677.419
11200105,771.6129412,4394823.529
11200106,155.7241379,3431034.483
11200107,1032.569697,6090984.848
11200108,2471.85,3689250
11200109,121.5947368,4373421.053
11200110,2407.795,5138000
11200111,356.0571429,5738775.51
11200112,2054.088235,5872882.353
11200113,3598.473913,4989130.435
11200114,1391.266102,7978453.39
11200115,589.7641379,7450168.966
11200118,181.4216667,4261916.667
11200122,450.3849462,4980645.161
11215101,583.2305648,4219262.458
11215102,9360.92,5211800
11215103,782.1339713,5397177.033
11215104,1425.006977,4415279.07
11215105,535.2581897,5861750
11215107,224.8160377,7982216.981
11215109,496.6423529,5573294.118
11230101,294.9026316,6134078.947
11230102,402.6753968,5043888.889
11230103,240.175,4732763.158
11230104,678.2488095,4503750
11230105,1091.186331,4308654.676
11230106,948.7361963,4862085.89
11230107,809.0877551,5106801.02
11230108,170.9230769,5584326.923
11230109,615.6088496,4269690.265
